Sentence|True intent|Pred intent|True slots|Pred slots
anh ơi thiết bị là đầy đủ đèn tranh 1|smart.home.decrease.percentage|smart.home.check.status|O O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice
anh ơi thiết bị là đầy đủ bóng sân 3|smart.home.decrease.percentage|smart.home.check.status|O O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice
tôi muốn giảm độ sáng của bóng sưởi|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O O B-devicedevice I-devicedevice|O O O O O O B-devicedevice I-devicedevice
tôi muốn giảm độ sáng của bóng tuýp|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O O B-devicedevice I-devicedevice|O O O O O O B-devicedevice I-devicedevice
bạn chỉnh giúp kiểm tra màn cuốn thứ 1 ở phòng họp gia đình xem bật không nhé|smart.home.check.status|smart.home.device.onoff|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O O O O|O B-commandcommand O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O O O O
bạn chỉnh giúp kiểm tra đèn sân thứ 4 ở hè sau 5 xem bật không nhé|smart.home.check.status|smart.home.device.onoff|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O O|O B-commandcommand O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O O
bóng hắt tường phòng ngủ các con 4 còn bật cập nhật|smart.home.check.status|smart.home.check.status|B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus B-commandcommand I-commandcommand|B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus I-statusstatus I-commandcommand
bạn chỉnh giúp kiểm tra loa còi ở phòng sách 1 xem bật không nhé|smart.home.check.status|smart.home.set.level|O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O O|O B-commandcommand O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O O
bóng 2 phòng ngủ 5 đang tắt kiểm tra|smart.home.check.status|smart.home.check.status|B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus B-commandcommand I-commandcommand|B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus I-commandcommand I-commandcommand
bạn chỉnh giúp kiểm tra bóng trang trí thứ 2 ở quầy lễ tân xem bật không nhé|smart.home.check.status|smart.home.device.onoff|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O O|O B-commandcommand O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O O
bóng vách 1 nhà giữ đồ còn tắt đúng không|smart.home.check.status|smart.home.check.status|B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus B-commandcommand I-commandcommand|B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-statusstatus I-statusstatus I-statusstatus I-commandcommand
bạn chỉnh giúp kiểm tra đèn nhiều màu 3 ở gara xem bật không nhé|smart.home.check.status|smart.home.set.level|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O O O|O B-commandcommand O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O O O
bóng ốp trần thứ 1 phòng ăn sáng đang mở hay đóng bao nhiêu|smart.home.check.status|smart.home.decrease.level|B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus I-statusstatus I-statusstatus B-commandcommand I-commandcommand|B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-statusstatus I-statusstatus I-statusstatus I-statusstatus O O
đèn sân phòng dành cho nữ chưa đóng quét|smart.home.check.status|smart.home.check.status|B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom B-statusstatus I-statusstatus B-commandcommand|B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-statusstatus I-statusstatus I-statusstatus
giúp tôi tăng độ sáng phòng ngủ con 1 lên mức 4 luôn nhé|smart.home.increase.level|smart.home.increase.level|O O B-commandcommand O O B-roomroom I-roomroom I-roomroom I-roomroom O O B-final-valuesysnumber O O|O O O O O B-roomroom I-roomroom I-roomroom I-roomroom O O B-final-valuesysnumber O O
trợ lý giúp mình tăng mức độ đèn học 4 lên mức 3 ở phòng số 5 nhé|smart.home.increase.level|smart.home.increase.level|O O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-sysnumbersysnumber O B-roomroom I-roomroom I-roomroom O|O O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-sysnumbersysnumber O B-roomroom O I-roomroom O
có thể tăng độ sáng đèn màu 3 lên mức 3 không|smart.home.increase.level|smart.home.increase.level|O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O O B-final-valuesysnumber O|O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-final-valuesysnumber O
chào bạn bạn có thể đặt giúp mình cột đèn thứ 1 trong phòng trẻ em được không|smart.home.set.percentage|smart.home.set.level|O O O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O|O O O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O
đèn hắt trần 2 ở phòng là mức 80 phần trăm|smart.home.set.percentage|smart.home.set.percentage|B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage|B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tôi muốn bật đèn tranh 4 ở phòng giám đốc|smart.home.set.percentage|smart.home.device.onoff|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom
mình nhờ bạn đóng thiết bị bóng sưởi ở phòng ngủ con trai nhé|smart.home.set.percentage|smart.home.device.onoff|O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O|O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O
tôi muốn đặt bóng ngủ 1 ở phòng hội nghị|smart.home.set.percentage|smart.home.set.level|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom
chào bạn bạn có thể bật giúp mình động cơ trong phòng nghỉ ngơi 3 được không|smart.home.set.percentage|smart.home.device.onoff|O O O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O O|O O O O O B-commandcommand O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O O
mình nhờ bạn mở thiết bị quạt treo tường ở phòng nữ 2 nhé|smart.home.set.percentage|smart.home.device.onoff|O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O|O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O
mình nhờ bạn cài đặt thiết bị đèn chùm thứ 2 ở gara 1 nhé|smart.home.set.percentage|smart.home.set.level|O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O|O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O
chào bạn bạn có thể đặt giúp mình đèn sưởi thứ 4 trong phòng khách được không|smart.home.set.percentage|smart.home.set.level|O O O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O|O O O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O
hãy cài đặt flash trong phòng ăn tối 5|smart.home.set.percentage|smart.home.set.level|O B-commandcommand I-commandcommand B-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom|O B-commandcommand I-commandcommand B-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
mình nhờ bạn cài đặt thiết bị đèn lồng thứ 3 ở đầu hè 4 nhé|smart.home.set.percentage|smart.home.set.level|O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O|O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O
hãy đặt bóng compact trong phòng hội nghị 5|smart.home.set.percentage|smart.home.set.level|O B-commandcommand B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom|O B-commandcommand B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
tôi muốn đặt bình nóng lạnh 2 ở sảnh 3|smart.home.set.percentage|smart.home.set.level|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom|O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom
tôi muốn mở mành 3 ở phòng dành cho nữ|smart.home.set.percentage|smart.home.set.level|O O B-commandcommand B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom|O O B-commandcommand B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
chào bạn bạn có thể cài đặt giúp mình đèn cây 1 trong hè sau được không|smart.home.set.percentage|smart.home.device.onoff|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O O
cài đặt đèn học thứ 4 phòng sau vườn 69 phần trăm|smart.home.set.percentage|smart.home.set.percentage|B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage|B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
hãy cài đặt bình nóng lạnh 2 trong room|smart.home.set.percentage|smart.home.device.onoff|O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom|O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom
đặt mành phòng phòng ngủ bố mẹ 4 7 phần trăm|smart.home.set.percentage|smart.home.set.percentage|B-commandcommand B-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage|B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tôi muốn bật tivi ở hiên sau|smart.home.set.percentage|smart.home.device.onoff|O O B-commandcommand B-devicedevice O B-roomroom I-roomroom|O O B-commandcommand B-devicedevice O PAD I-roomroom
hãy đóng đèn cổng 2 trong phòng|smart.home.set.percentage|smart.home.device.onoff|O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom|O B-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom
chào bạn bạn có thể cài đặt giúp mình bóng tiết kiệm điện 3 trong gara được không|smart.home.set.percentage|smart.home.set.level|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O|O O O O O B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O
mình nhờ bạn mở thiết bị bóng âm trần 1 ở cửa hàng nhé|smart.home.set.percentage|smart.home.device.onoff|O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O|O O O B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O
hãy đóng bóng thờ thứ 3 trong nhà tắm 1|smart.home.set.percentage|smart.home.device.onoff|O B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom|O B-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom
tăng lên đèn compact 2 trên phòng 3 thêm 15 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
cho mình tăng rgb lên 18 phần trăm ở phòng phòng thờ 7 với|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O B-roomroom I-roomroom B-floornumberfloornumber O|O O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O B-roomroom I-roomroom I-roomroom O
bạn tăng hộ mình rèm đơn thứ 3 ở garage 1 tầng 2 nhé|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O|O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O
bạn tăng cho mình đèn bàn 3 với ạ|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice I-devicedevice O O|O O O O B-devicedevice I-devicedevice I-devicedevice O O
bạn tăng hộ mình tv ở ga ra tầng thượng 7 nhé|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O|O O O O B-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O
tăng lên màn cửa đơn thứ 2 trên phòng 4 thêm 20 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
cho mình tăng động cơ thứ 3 lên 16 phần trăm ở phòng đại sảnh 3 với|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O B-roomroom I-roomroom B-floornumberfloornumber O|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O B-roomroom I-roomroom I-roomroom O
device đèn cây thứ 3|smart.home.increase.percentage|smart.home.set.percentage|O B-devicedevice I-devicedevice I-devicedevice I-devicedevice|O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
chào bạn mình cần giúp tăng mức độ của ốp trần thứ 4|smart.home.increase.percentage|smart.home.increase.level|O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice|O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
chào bạn mình cần giúp tăng mức độ của rèm cửa 4|smart.home.increase.percentage|smart.home.increase.level|O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice
bạn tăng cho mình mành cuốn 2 với ạ|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice I-devicedevice O O|O O O O B-devicedevice I-devicedevice I-devicedevice O O
tăng cho tôi bóng tròn 3 lên 6 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng cho tôi đèn flash lên 16 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand O O B-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng cho tôi đèn quảng cáo 4 lên 27 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
chào bạn mình cần giúp tăng mức độ của rèm 3|smart.home.increase.percentage|smart.home.increase.level|O O O O O O O O O B-devicedevice I-devicedevice|O O O O O O O O O B-devicedevice I-devicedevice
chào bạn mình cần giúp tăng mức độ của nóng lạnh|smart.home.increase.percentage|smart.home.increase.level|O O O O O O O O O B-devicedevice I-devicedevice|O O O O O O O O O B-devicedevice I-devicedevice
bạn tăng cho mình bóng compact với ạ|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice O O|O O O O B-devicedevice I-devicedevice O O
cho mình tăng flash lên 24 phần trăm ở phòng khách 4 5 với|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O B-roomroom I-roomroom B-floornumberfloornumber O|O O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber O
bạn tăng cho mình bóng ốp tường thứ 1 với ạ|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O|O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O
bạn tăng hộ mình đèn vách 2 ở phòng thu tầng thượng 9 nhé|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O|O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O
tăng cho tôi đèn ngủ thứ 4 lên 3 phần trăm|smart.home.increase.percentage|smart.home.increase.percentage|O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage|B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn tăng hộ mình bóng tường ở phòng chờ 2 nhé|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber O|O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O
device bóng vườn|smart.home.increase.percentage|greeting|O B-devicedevice I-devicedevice|O B-devicedevice I-devicedevice
bạn tăng hộ mình van nước thứ 1 ở hè sau 2 tầng hầm 1 nhé|smart.home.increase.percentage|smart.home.increase.level|O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O|O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber O
chào bạn mình cần giúp tăng mức độ của bóng thứ 4|smart.home.increase.percentage|smart.home.increase.level|O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice
